Row No	Audited	Checksum Changed	CreationTime	Detected Date (LCT)	Detected Time (LCT)	Detected Date (UTC)	Detected Time (UTC)	Eof	FileCode	FileKind	FileName	FileType	GuardianFile	HashAlgorithm	HashValue	Host	Id	LastModified	Licensed	OpenTime	OwnerGroupId	OwnerUserId	ProgId	Security	Subvolume	Type	Virtual	Volume	Who
1	N	N	19:30.6	3/23/20	7:40	3/23/20	15:40	"1,083,392"	100	ENS	BATCHCOM	U	$SYSTEM.SYSTEM.BATCHCOM			\EST1983	"13,257"	45:50.6	N	00:03.6	255	255	N	NUNU	SYSTEM	Added	N	$SYSTEM	SUPPORT.HFELDMAN
2	N	N	17:44.0	8/3/20	7:38	8/3/20	15:38	"2,065,408"	540	ENS	USERID	K	$SYSTEM.SYSTEM.USERID			\GALAXY	"170,474"	35:48.4	N	38:03.4	255	255	N	----	SYSTEM	Modified	N	$SYSTEM	SUPER.SUPER
3	N	N	17:44.3	8/3/20	7:38	8/3/20	15:38	"585,728"	540	ENS	USERIDAK	K	$SYSTEM.SYSTEM.USERIDAK			\GALAXY	"170,475"	09:13.6	N	38:03.4	255	255	N	----	SYSTEM	Modified	N	$SYSTEM	SUPER.SUPER
4	N	N	50:02.8	8/3/20	7:38	8/3/20	15:38	"2,048"	843	ENS	ZZEVCONF	E	$SYSTEM.SYSTEM.ZZEVCONF			\GALAXY	"170,476"	14:10.3	N	14:10.3	255	255	N	NUNU	SYSTEM	Modified	N	$SYSTEM	SUPER.SUPER
5	N	N	34:04.4	12/21/20	7:38	12/21/20	15:38	"1,296,384"	100	ENS	NETBATCH	U	$SYSTEM.SYSTEM.NETBATCH			\GALAXY	"363,261"	17:14.5	Y	52:03.8	255	255	N	****	SYSTEM	Modified	N	$SYSTEM	SUPER.SUPER
6	N	N	12:06.5	3/23/20	7:40	3/23/20	15:40	"10,219,520"	0	ENS	SQLMSG	K	$SYSTEM.SYSTEM.SQLMSG			\EST1983	"12,843"	31:13.4	N	56:28.4	255	255	N	NUNU	SYSTEM	Added	N	$SYSTEM	QA.VAN
7	N	N	08:53.3	1/15/21	11:03	1/15/21	19:03	"92,506"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"392,236"	08:53.5	N	08:56.0	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
8	N	N	08:56.0	1/15/21	11:03	1/15/21	19:03	"6,832,128"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"392,237"	08:58.1	N	09:24.4	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
9	N	N	08:55.7	1/15/21	11:03	1/15/21	19:03	"92,012"	101	ENS	OLDACL17	U	$SYSTEM.XYGATEOS.OLDACL17			\EST1983	"392,229"	39:49.5	N	08:55.8	253	1	N	NUCU	XYGATEOS	Added	N	$SYSTEM	twilson
10	N	N	37:29.4	1/15/21	11:03	1/15/21	19:03	"6,733,824"	0	ENS	ZZOS0076	U	$SYSTEM.XYGATEOS.ZZOS0076			\EST1983	"392,231"	37:31.8	N	08:56.3	253	1	N	NONO	XYGATEOS	Added	N	$SYSTEM	twilson
11	N	N	51:15.4	1/15/21	11:03	1/15/21	19:03	"90,768"	101	ENS	OLDACL05	U	$SYSTEM.XYGATEOS.OLDACL05			\EST1983	"392,232"	43:25.7	N	25:42.5	253	1	N	NUUU	XYGATEOS	Removed	N	$SYSTEM	twilson
12	N	N	26:00.8	1/15/21	11:03	1/15/21	19:03	"6,733,824"	0	ENS	ZZOS0075	U	$SYSTEM.XYGATEOS.ZZOS0075			\EST1983	"392,233"	26:04.5	N	37:29.8	253	1	N	NONO	XYGATEOS	Removed	N	$SYSTEM	twilson
13	N	N	49:57.3	1/14/21	23:03	1/15/21	7:03	"1,080"	101	ENS	XRMD0020	U	$SYSTEM.XYGATEOS.XRMD0020			\EST1983	"392,224"	49:57.2	N	41:45.1	253	1	N	NUCU	XYGATEOS	Added	N	$SYSTEM	SUPER.SUPER
14	N	N	37:29.4	1/13/21	11:03	1/13/21	19:03	"6,733,824"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"383,047"	37:31.8	N	37:40.2	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SUPER.SUPER
15	N	N	39:18.0	1/13/21	11:03	1/13/21	19:03	9	180	ENS	ZZPID	U	$SYSTEM.XYGATESH.ZZPID			\EST1983	"383,048"	39:18.1	N		255	255	N	NONO	XYGATESH	Modified	N	$SYSTEM	SUPER.SUPER
16	N	N	26:00.8	12/14/20	23:04	12/15/20	7:04	"6,733,824"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"354,620"	26:04.5	N	26:11.5	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SUPER.SUPER
17	N	N	28:14.0	12/14/20	23:04	12/15/20	7:04	9	180	ENS	ZZPID	U	$SYSTEM.XYGATESH.ZZPID			\EST1983	"354,621"	28:14.1	N		255	255	N	NONO	XYGATESH	Modified	N	$SYSTEM	SUPER.SUPER
18	N	N	41:00.0	12/3/20	23:03	12/4/20	7:03	"6,733,824"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"338,455"	41:02.5	N	41:08.6	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SUPER.SUPER
19	N	N	43:07.6	12/3/20	23:03	12/4/20	7:03	9	180	ENS	ZZPID	U	$SYSTEM.XYGATESH.ZZPID			\EST1983	"338,456"	43:07.7	N		255	255	N	NONO	XYGATESH	Modified	N	$SYSTEM	SUPER.SUPER
20	N	N	39:49.3	11/13/20	11:03	11/13/20	19:03	"92,012"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"298,123"	39:49.5	N	39:52.5	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
21	N	N	39:52.4	11/13/20	11:03	11/13/20	19:03	"6,733,824"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"298,124"	39:54.5	N	39:55.2	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
22	N	N	08:08.2	11/5/20	11:04	11/5/20	19:04	"92,012"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"284,236"	08:08.4	N	08:12.2	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
23	N	N	08:12.1	11/5/20	11:04	11/5/20	19:04	"6,750,208"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"284,237"	08:14.3	N	49:52.1	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
24	N	N	05:48.5	9/23/20	11:03	9/23/20	19:03	"92,012"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"233,434"	05:48.7	N	05:52.4	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
25	N	N	05:52.4	9/23/20	11:03	9/23/20	19:03	"6,766,592"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"233,435"	05:54.9	N	05:55.8	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
26	N	N	22:19.0	9/16/20	11:03	9/16/20	19:03	"91,298"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"224,850"	22:19.2	N	31:07.8	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
27	N	N	22:22.7	9/16/20	11:03	9/16/20	19:03	"6,766,592"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"224,851"	22:24.8	N	22:25.5	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
28	N	N	24:19.1	9/3/20	23:03	9/4/20	7:03	"4,006"	101	ENS	XSMD0001	U	$SYSTEM.XYGATESM.XSMD0001			\EST1983	"215,174"	24:18.4	N	24:19.2	253	1	N	NUCU	XYGATESM	Modified	N	$SYSTEM	SECURITY.ADMIN
29	N	N	40:36.8	9/2/20	11:03	9/2/20	19:03	"90,904"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"212,900"	40:37.0	N	49:57.9	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
30	N	N	40:40.4	9/2/20	11:03	9/2/20	19:03	"6,750,208"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"212,901"	40:42.5	N	40:43.2	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
31	N	N	21:18.0	8/26/20	11:03	8/26/20	19:03	"5,946"	101	ENS	PQCONF	U	$SYSTEM.XYGATEPQ.PQCONF			\EST1983	"203,489"	47:00.0	N	48:13.0	253	1	N	NCCC	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
32	N	N	21:18.0	8/25/20	11:03	8/25/20	19:03	"5,948"	101	ENS	PQCONF	U	$SYSTEM.XYGATEPQ.PQCONF			\EST1983	"201,997"	28:56.9	N	01:58.9	253	1	N	NCCC	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
33	N	N	21:18.0	8/24/20	11:03	8/24/20	19:03	"5,940"	101	ENS	PQCONF	U	$SYSTEM.XYGATEPQ.PQCONF			\EST1983	"198,057"	24:16.4	N	23:30.0	253	1	N	NCCC	XYGATEPQ	Modified	N	$SYSTEM	SUPPORT.DAVEC
34	N	N	23:29.0	8/19/20	11:03	8/19/20	19:03	"90,904"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"193,215"	23:29.1	N	15:17.3	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SUPPORT.LSTEFANI
35	N	N	23:32.9	8/19/20	11:03	8/19/20	19:03	"6,750,208"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"193,216"	23:35.0	N	17:21.2	253	1	N	NONO	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
36	N	N	33:01.3	8/18/20	11:03	8/18/20	19:03	"594,376"	800	ENS	ACLIFPR	U	$SYSTEM.XYGATEPQ.ACLIFPR			\EST1983	"192,068"	42:11.2	N	33:01.4	253	1	N	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
37	N	N	32:45.5	8/18/20	11:03	8/18/20	19:03	"41,856"	800	ENS	ADOPTN	U	$SYSTEM.XYGATEPQ.ADOPTN			\EST1983	"192,069"	26:55.0	Y	33:24.0	253	1	N	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
38	N	N	32:59.1	8/18/20	11:03	8/18/20	19:03	"46,716"	101	ENS	APPSYNC	U	$SYSTEM.XYGATEPQ.APPSYNC			\EST1983	"192,070"	29:20.6	N	32:59.1	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
39	N	N	32:59.7	8/18/20	11:03	8/18/20	19:03	"12,288"	201	ENS	DICTALT	K	$SYSTEM.XYGATEPQ.DICTALT			\EST1983	"192,071"	33:00.4	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
40	N	N	32:59.6	8/18/20	11:03	8/18/20	19:03	0	207	ENS	DICTCDF	K	$SYSTEM.XYGATEPQ.DICTCDF			\EST1983	"192,072"	32:59.6	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
41	N	N	32:59.5	8/18/20	11:03	8/18/20	19:03	30	200	ENS	DICTDDF	U	$SYSTEM.XYGATEPQ.DICTDDF			\EST1983	"192,073"	33:00.4	N	32:59.7	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
42	N	N	32:59.6	8/18/20	11:03	8/18/20	19:03	0	206	ENS	DICTKDF	K	$SYSTEM.XYGATEPQ.DICTKDF			\EST1983	"192,074"	32:59.6	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
43	N	N	32:59.7	8/18/20	11:03	8/18/20	19:03	0	209	ENS	DICTMAP	K	$SYSTEM.XYGATEPQ.DICTMAP			\EST1983	"192,075"	32:59.7	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
44	N	N	32:59.6	8/18/20	11:03	8/18/20	19:03	"24,576"	204	ENS	DICTOBL	K	$SYSTEM.XYGATEPQ.DICTOBL			\EST1983	"192,076"	33:00.6	N	32:59.7	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
45	N	N	32:59.6	8/18/20	11:03	8/18/20	19:03	"12,288"	202	ENS	DICTODF	K	$SYSTEM.XYGATEPQ.DICTODF			\EST1983	"192,077"	33:00.4	N	32:59.7	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
46	N	N	32:59.6	8/18/20	11:03	8/18/20	19:03	"12,288"	203	ENS	DICTOTF	K	$SYSTEM.XYGATEPQ.DICTOTF			\EST1983	"192,078"	33:00.4	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
47	N	N	32:59.6	8/18/20	11:03	8/18/20	19:03	"12,288"	208	ENS	DICTOUF	K	$SYSTEM.XYGATEPQ.DICTOUF			\EST1983	"192,079"	33:00.5	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
48	N	N	32:59.7	8/18/20	11:03	8/18/20	19:03	"12,288"	208	ENS	DICTOUK	K	$SYSTEM.XYGATEPQ.DICTOUK			\EST1983	"192,080"	33:00.5	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
49	N	N	32:59.6	8/18/20	11:03	8/18/20	19:03	"12,288"	205	ENS	DICTRDF	K	$SYSTEM.XYGATEPQ.DICTRDF			\EST1983	"192,081"	33:00.4	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
50	N	N	32:59.7	8/18/20	11:03	8/18/20	19:03	0	209	ENS	DICTTKN	K	$SYSTEM.XYGATEPQ.DICTTKN			\EST1983	"192,082"	32:59.7	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
51	N	N	32:59.7	8/18/20	11:03	8/18/20	19:03	0	209	ENS	DICTTYP	K	$SYSTEM.XYGATEPQ.DICTTYP			\EST1983	"192,083"	32:59.6	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
52	N	N	32:59.7	8/18/20	11:03	8/18/20	19:03	0	209	ENS	DICTVER	K	$SYSTEM.XYGATEPQ.DICTVER			\EST1983	"192,084"	32:59.7	N	32:59.8	253	1	N	NUCU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
53	N	N	33:05.1	8/18/20	11:03	8/18/20	19:03	"28,630"	101	ENS	EMSBUILD	U	$SYSTEM.XYGATEPQ.EMSBUILD			\EST1983	"192,085"	33:05.1	N	33:05.2	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
54	N	N	32:59.2	8/18/20	11:03	8/18/20	19:03	"17,928"	101	ENS	EMSDDL	U	$SYSTEM.XYGATEPQ.EMSDDL			\EST1983	"192,086"	59:59.1	N	32:59.3	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
55	N	N	33:04.8	8/18/20	11:03	8/18/20	19:03	"28,606"	101	ENS	EMSTEMP	U	$SYSTEM.XYGATEPQ.EMSTEMP			\EST1983	"192,087"	33:04.8	N	33:04.9	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
56	N	N	33:01.8	8/18/20	11:03	8/18/20	19:03	"28,600"	101	ENS	EXPADD	U	$SYSTEM.XYGATEPQ.EXPADD			\EST1983	"192,088"	33:01.7	N	33:01.8	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
57	N	N	33:01.6	8/18/20	11:03	8/18/20	19:03	"28,600"	101	ENS	EXPCHK	U	$SYSTEM.XYGATEPQ.EXPCHK			\EST1983	"192,089"	33:01.5	N	33:01.6	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
58	N	N	32:54.1	8/18/20	11:03	8/18/20	19:03	"39,952,384"	100	ENS	LICCHK	U	$SYSTEM.XYGATEPQ.LICCHK			\EST1983	"192,090"	00:33.9	N	32:57.6	253	1	N	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
59	N	N	32:59.2	8/18/20	11:03	8/18/20	19:03	"3,168"	101	ENS	LOGDDL	U	$SYSTEM.XYGATEPQ.LOGDDL			\EST1983	"192,091"	59:59.2	N	32:59.4	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
60	N	N	32:51.0	8/18/20	11:03	8/18/20	19:03	"21,165,864"	800	ENS	NETPASS	U	$SYSTEM.XYGATEPQ.NETPASS			\EST1983	"192,092"	32:53.6	N	33:23.1	253	1	Y	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
61	N	N	32:54.0	8/18/20	11:03	8/18/20	19:03	"2,376"	0	ENS	P15F001	U	$SYSTEM.XYGATEPQ.P15F001			\EST1983	"192,093"	19:50.8	N	33:24.2	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
62	N	N	32:53.8	8/18/20	11:03	8/18/20	19:03	"5,388"	101	ENS	PASSHELP	U	$SYSTEM.XYGATEPQ.PASSHELP			\EST1983	"192,094"	19:32.8	N	32:53.9	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
63	N	N	33:01.9	8/18/20	11:03	8/18/20	19:03	"2,048"	101	ENS	PASSMAC	U	$SYSTEM.XYGATEPQ.PASSMAC			\EST1983	"192,095"	33:01.9	N	33:02.0	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
64	N	N	33:02.0	8/18/20	11:03	8/18/20	19:03	"18,326"	101	ENS	PASSMGR	U	$SYSTEM.XYGATEPQ.PASSMGR			\EST1983	"192,096"	50:55.5	N	33:02.1	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
65	N	N	33:23.3	8/18/20	11:03	8/18/20	19:03	"123,242"	100	ENS	PASSTAN	U	$SYSTEM.XYGATEPQ.PASSTAN			\EST1983	"192,097"	33:23.5	Y	33:23.7	255	255	N	UUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
66	N	N	32:48.3	8/18/20	11:03	8/18/20	19:03	"21,196,104"	800	ENS	PASSWORD	U	$SYSTEM.XYGATEPQ.PASSWORD			\EST1983	"192,098"	32:50.9	N	32:50.9	253	1	N	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
67	N	N	32:53.9	8/18/20	11:03	8/18/20	19:03	"1,774"	101	ENS	PQACHLP	U	$SYSTEM.XYGATEPQ.PQACHLP			\EST1983	"192,099"	13:05.2	N	32:54.0	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
68	N	N	33:00.7	8/18/20	11:03	8/18/20	19:03	"1,730,392"	800	ENS	PQDBCOM	U	$SYSTEM.XYGATEPQ.PQDBCOM			\EST1983	"192,100"	33:01.2	N	33:01.2	253	1	N	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
69	N	N	32:53.8	8/18/20	11:03	8/18/20	19:03	"28,618"	101	ENS	PQHELP	U	$SYSTEM.XYGATEPQ.PQHELP			\EST1983	"192,101"	32:53.7	N	32:53.8	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
70	N	N	32:58.9	8/18/20	11:03	8/18/20	19:03	"4,748"	101	ENS	PSENDDDL	U	$SYSTEM.XYGATEPQ.PSENDDDL			\EST1983	"192,102"	24:03.7	N	32:59.0	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
71	N	N	32:59.0	8/18/20	11:03	8/18/20	19:03	"28,600"	101	ENS	PSENDH	U	$SYSTEM.XYGATEPQ.PSENDH			\EST1983	"192,103"	18:12.9	N	32:59.0	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
72	N	N	32:57.7	8/18/20	11:03	8/18/20	19:03	"1,253,376"	100	ENS	REGTEST	U	$SYSTEM.XYGATEPQ.REGTEST			\EST1983	"192,104"	12:19.1	N	32:57.9	253	1	N	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
73	N	N	32:58.3	8/18/20	11:03	8/18/20	19:03	"2,048"	101	ENS	REPMAC	U	$SYSTEM.XYGATEPQ.REPMAC			\EST1983	"192,105"	32:58.3	N	32:58.4	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
74	N	N	32:58.2	8/18/20	11:03	8/18/20	19:03	"2,048"	101	ENS	REPSAMP	U	$SYSTEM.XYGATEPQ.REPSAMP			\EST1983	"192,106"	32:58.1	N	32:58.2	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
75	N	N	32:57.9	8/18/20	11:03	8/18/20	19:03	"618,496"	100	ENS	SEND	U	$SYSTEM.XYGATEPQ.SEND			\EST1983	"192,107"	10:00.8	N	32:58.1	253	1	N	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
76	N	N	32:58.8	8/18/20	11:03	8/18/20	19:03	"193,932"	101	ENS	SOFTDOC	U	$SYSTEM.XYGATEPQ.SOFTDOC			\EST1983	"192,108"	59:44.5	N	32:58.9	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
77	N	N	33:04.6	8/18/20	11:03	8/18/20	19:03	"139,264"	440	ENS	TACLSEG	U	$SYSTEM.XYGATEPQ.TACLSEG			\EST1983	"192,109"	33:04.5	N	33:18.4	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
78	N	N	33:04.2	8/18/20	11:03	8/18/20	19:03	"114,640"	101	ENS	TACLSRC	U	$SYSTEM.XYGATEPQ.TACLSRC			\EST1983	"192,110"	33:04.2	N	33:04.4	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
79	N	N	33:02.1	8/18/20	11:03	8/18/20	19:03	"62,010"	101	ENS	XCFLANG	U	$SYSTEM.XYGATEPQ.XCFLANG			\EST1983	"192,111"	38:23.9	N	33:02.2	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
80	N	N	33:02.7	8/18/20	11:03	8/18/20	19:03	"2,048"	101	ENS	XPQ	U	$SYSTEM.XYGATEPQ.XPQ			\EST1983	"192,112"	33:02.6	N	33:18.4	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
81	N	N	33:02.3	8/18/20	11:03	8/18/20	19:03	"28,600"	101	ENS	XPQEDIT	U	$SYSTEM.XYGATEPQ.XPQEDIT			\EST1983	"192,113"	33:02.3	N	33:02.4	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
82	N	N	33:02.5	8/18/20	11:03	8/18/20	19:03	"2,048"	101	ENS	XPQUPDT	U	$SYSTEM.XYGATEPQ.XPQUPDT			\EST1983	"192,114"	33:02.5	N	33:02.6	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
83	N	N	32:58.4	8/18/20	11:03	8/18/20	19:03	"4,730"	101	ENS	XRMMETA	U	$SYSTEM.XYGATEPQ.XRMMETA			\EST1983	"192,115"	40:30.6	N	32:58.5	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
84	N	N	32:58.5	8/18/20	11:03	8/18/20	19:03	856	101	ENS	XRMT0001	U	$SYSTEM.XYGATEPQ.XRMT0001			\EST1983	"192,116"	28:54.6	N	32:58.6	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
85	N	N	32:58.6	8/18/20	11:03	8/18/20	19:03	920	101	ENS	XRMT0002	U	$SYSTEM.XYGATEPQ.XRMT0002			\EST1983	"192,117"	28:54.8	N	32:58.6	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
86	N	N	32:58.7	8/18/20	11:03	8/18/20	19:03	970	101	ENS	XRMT0003	U	$SYSTEM.XYGATEPQ.XRMT0003			\EST1983	"192,118"	28:55.0	N	32:58.7	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
87	N	N	32:58.7	8/18/20	11:03	8/18/20	19:03	950	101	ENS	XRMT0004	U	$SYSTEM.XYGATEPQ.XRMT0004			\EST1983	"192,119"	28:55.3	N	32:58.8	253	1	N	NUUU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
88	N	N	32:45.7	8/18/20	11:03	8/18/20	19:03	"23,090,056"	800	ENS	XYGATEPQ	U	$SYSTEM.XYGATEPQ.XYGATEPQ			\EST1983	"192,120"	32:48.3	N	33:24.0	253	1	Y	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
89	N	N	33:01.1	8/18/20	11:03	8/18/20	19:03	"97,672"	800	ENS	ZSFGDLL	U	$SYSTEM.XYGATEPQ.ZSFGDLL			\EST1983	"192,121"	00:12.6	N	33:24.0	253	1	N	UUNU	XYGATEPQ	Modified	N	$SYSTEM	SECURITY.ADMIN
90	N	N	33:04.3	8/18/20	11:03	8/18/20	19:03	"139,264"	440	ENS	ZZ523843	U	$SYSTEM.XYGATEPQ.ZZ523843			\EST1983	"192,064"	33:04.5	N	33:04.6	253	1	N	NUUU	XYGATEPQ	Added	N	$SYSTEM	SECURITY.ADMIN
91	N	N	51:45.3	8/14/20	11:03	8/14/20	19:03	"92,412"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"188,260"	51:41.2	N	19:59.2	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
92	N	N	51:45.5	8/14/20	11:03	8/14/20	19:03	"6,750,208"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"188,261"	51:47.6	N	51:48.3	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
93	N	N	51:45.3	8/14/20	11:03	8/14/20	19:03	"89,658"	101	ENS	OLDACL01	U	$SYSTEM.XYGATEOS.OLDACL01			\EST1983	"188,265"	05:57.9	N	51:45.3	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
94	N	N	21:30.4	8/7/20	11:03	8/7/20	19:03	"22,744"	800	ENS	LIB	U	$SYSTEM.XYGATESH.LIB			\EST1983	"180,501"	21:30.4	Y	14:45.6	255	255	N	NUNU	XYGATESH	Modified	N	$SYSTEM	SUPER.SUPER
