id,title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
1213,Silvana Sin Lana,"A high society woman loses everything and has to move with her three daughters, and her mom to a middle-class neighborhood.",7/19/16,2.1062,"Drama, Soap, Comedy",United States,Spanish,7.71,252
1214,"Lady, la vendedora de rosas","The life story of Colombian film star Lady Tabares, who was plucked off the mean streets to star in a film and quickly rose to fame.",6/16/15,1.8475,Drama,Colombia,Spanish,7.709,1468
1215,Bitter Lands,"The love story of Zuleyha, ​​who grew up without a father and works with Yilmaz as an auxiliary weaver in order to earn money for her brother, a gambler. The lives of these two young people blinded by the love of one ordinary night will turn into a dark nightmare. This nightmare will take them first from Istanbul and far away, and later to the estate of the Yaman family. In the first episode of the series, Yilmaz and Zuleyha set out to work on the Yaman estate. However, because of one of Zuleyha's lies - the lives of all of them will change radically.",9/13/18,6.6381,"Family, Drama",Turkey,Turkish,7.7,213
1216,Captain Tsubasa: Road to 2002,"Tsubasa becomes a superstar amongst soccer players in Brazil. He is now planning to play in Europe. At an important must-win game, as the fans cheer him on, Tsubasa looks back at the days when he started his soccer life. His passion to make goals and win the game is as strong as it was during his childhood. He recalls the games and moments that had decisive impact on his life. He remembers Goalkeeper Wakabayashi, Genius striker Hyuga, tender-hearted Misaki and Coach Roberto. He was happy to meet them, enjoyed playing with them, and learned many things from them. The whistle sounds and the game begins. Tsubasa dashes for the ball!",10/7/01,5.5827,"Animation, Drama, Action & Adventure",Japan,Japanese,7.709,278
1217,Trailer Park Boys,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,4/22/01,9.7007,Comedy,Canada,English,7.709,292
1218,Spider-Man,The bite of a radioactive spider transforms a teen into a superhero.,9/9/67,5.3262,"Kids, Animation, Action & Adventure",United States,English,7.7,206
1219,What Life Took From Me,"""What Life Took From Me"" is a Mexican telenovela produced by Angelli Nesma Medina for Televisa. It is a remake of Bodas de odio, produced by Ernesto Alonso in 1983. In 2003, ""True Love"", the first remake, was produced by Carla Estrada. Unlike Bodas de odio and ""True Love"", ""What Life Took From Me"" has been adapted to the present time.",10/28/13,2.3082,Drama,Mexico,Spanish,7.7,1330
1220,Apocalipse,A mysterious and spiritual portrayal of one of the most intense and controversial stories in the Holy Bible: the end of the world.,11/21/17,4.6387,"Drama, Soap, Action & Adventure, Mystery",Brazil,Portuguese,7.7,286
1221,Danganronpa: The Animation,"Being just a normal student without a special talent, Makoto Naegi wins a lottery to attend the prestigious Hope's Peak Academy where only the top prodigies attend. However, instead of this being the beginning of a wonderful high school life, it's a ticket to despair, because the only way to graduate from Hope's Peak Academy is to kill one of your fellow students or be one of their victims.",7/5/13,6.2966,"Action & Adventure, Animation, Drama, Mystery",Japan,Japanese,7.705,275
1222,2 Good 2 Be True,"Car mechanic Eloy makes a terrible first impression on Ali, who works for a real estate magnate. But both of them are hiding their true personas.",5/16/22,1.8443,"Comedy, Drama",Philippines,Tagalog,7.7,259
1223,Dare Me,"Dive into the cutthroat world of competitive high school cheerleading, following the fraught relationship between two best friends after a new coach arrives to bring their team to prominence.",12/29/19,2.4609,"Drama, Mystery, Crime",United States,English,7.7,354
1224,Masamune-kun's Revenge,"As a child, Masamune Makabe once suffered greatly at the hands of a wealthy and beautiful girl named Aki Adagaki, who nicknamed him ""Piggy"" due to his chubby appearance. Seeking revenge against his tormentor, Masamune works hard to improve himself and returns as an incredibly handsome, albeit narcissistic, high school student. When he encounters Aki once again, he is prepared to exact vengeance.

With the aid of the rich girl's maid, Yoshino Koiwai, Masamune slowly begins to build his relationship with Aki, intending to break her heart when the time is right. However, as his friendship with Aki begins to grow, Masamune starts to question the objectives of his devious plans, and if bringing them to fruition is what his heart truly desires.",1/5/17,7.2834,"Animation, Comedy, Drama",Japan,Japanese,7.7,352
1225,Roswell,"Bizarre things start happening in the little New Mexico town where UFOs were spotted in 1947. Cut to 1999, when a cute high-school student saves the life of a teenage waitress. Surrounded by cliques of clever, angst-filled classmates, the two form a bond that threatens the survival of a secret universe involving superhuman powers, a yen for hot sauce and an alien gene pool.",10/6/99,10.0271,"Sci-Fi & Fantasy, Drama",United States,English,7.703,467
1226,Carnival Row,"In a mystical and dark city filled with humans, fairies and other creatures, a police detective investigates a series of gruesome murders leveled against the fairy population. During his investigation, the detective becomes the prime suspect and must find the real killer to clear his name.",8/29/19,10.6956,"Crime, Drama, Sci-Fi & Fantasy",United States,English,7.7,1332
1227,For All Mankind,"Explore an aspirational world where NASA and the space program remained a priority and a focal point of our hopes and dreams as told through the lives of NASA astronauts, engineers, and their families.",11/1/19,13.5263,"Drama, Sci-Fi & Fantasy, War & Politics",United States,English,7.7,836
1228,Frasier,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",9/16/93,34.6048,"Comedy, Family",United States,English,7.693,833
1229,The Innocent,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.",4/30/21,3.3398,"Crime, Mystery, Drama",Spain,Spanish,7.699,419
1230,Teenage Bounty Hunters,"After joining forces with a veteran bounty hunter, sixteen-year-old fraternal twin sisters Sterling and Blair dive into the world of bail skipping baddies while still navigating the high stakes of teenage love and sex.",8/14/20,2.9047,"Comedy, Action & Adventure, Drama",United States,English,7.698,363
1231,The Girl,"A young woman who was part of the guerrilla group is now seeking a better life in the city. She wants to study medicine, to heal rather than harm, but she will face a challenge, because being part of outlaw groups always has consequences.",4/26/16,1.9516,"Documentary, Drama, Action & Adventure",Colombia,Spanish,7.697,238
1232,SpongeBob SquarePants,"Deep down in the Pacific Ocean in the subterranean city of Bikini Bottom lives a square yellow sponge named SpongeBob SquarePants. SpongeBob lives in a pineapple with his pet snail, Gary, loves his job as a fry cook at the Krusty Krab, and has a knack for getting into all kinds of trouble without really trying. When he's not getting on the nerves of his cranky next door neighbor Squidward, SpongeBob can usually be found smack in the middle of all sorts of strange situations with his best buddy, the simple yet lovable starfish, Patrick, or his thrill-seeking surfer-girl squirrel pal, Sandy Cheeks.",5/1/99,6.6218,"Animation, Comedy, Family",United States,English,7.7,3120
1233,Good Witch,"Cassie Nightingale, Middleton’s favorite enchantress, and her young-teenage daughter Grace, who shares that same special intuition as her mom, welcome Dr. Sam Radford and his son to town. When the New York transplants move in next to the Grey House, they are immediately spellbound by the mother-daughter duo next door, but Sam and Cassie quickly find they may not see eye to eye. With her signature charm, Cassie attempts to bring everyone together, ensuring all of Middleton is in for new changes, big surprises and, of course, a little bit of magic!

""Good Witch” is based on Bell’s beloved character Cassie, the raven-haired enchantress who kept audiences spellbound for seven installments of Hallmark Channel's longest-running and highest-rated original movie franchise of all time.",2/28/15,10.2138,"Comedy, Drama, Sci-Fi & Fantasy",United States,English,7.694,268
